username,accepted,made_by_csqrb,opinion,comment
csqrb,TRUE,TRUE,😀,"""Мой основной сокращённый никнейм."""
CaptainSqrBeard,TRUE,FALSE,😀,"""Мой полный никнейм. Он у меня такой в майнкрафте, например."""
Скваер,TRUE,FALSE,😀,"""Одно из первых сокращений моего ника. Его я даю в пример, когда у меня спрашивают как произносить мой ник."""
Сискурб,TRUE,FALSE,😐,"""Либо-же я им говорю называть меня любым, схожим с ником, словом."""
Сквурб,FALSE,FALSE,😐,"""И потом это приводит к вот таким трансформациям."""
Кьюскюрб,TRUE,FALSE,😀,"""Название этого канала."""
Кьюэрджиби,FALSE,FALSE,😀,"""c🔴🟢🔵."""
Скряб,FALSE,FALSE,😐,"""Конкретно этот вариант появился на сервере по сплатуну."""
КС,TRUE,FALSE,😀,"""А вот эта вариация не появилась на сервере по КС."""
Лайт,TRUE,FALSE,😀,"""Раньше у меня был другой ник, и соответственно сокращённо обращались ко мне таким образом."""
Илья,TRUE,FALSE,😀,"""Это не никнейм. Меня так зовут по настоящему."""
Кортез,TRUE,TRUE,😀,"""Ник который я использовал лишь на одном сервере, но в он перешёл и на другие. Это кстати референс на машиниму ""Элитный мир""."""
Корт,FALSE,FALSE,😐,"""Людям бывает лень дописать лишь 2 буквы."""
Картечь,FALSE,FALSE,😡,"""Китакоту́."""
Борода,TRUE,FALSE,😀,"""Когда-то я не сокращал свой ник до 5 букв, и потому звали меня по словам из полного ника."""
Капитан,TRUE,FALSE,😀,"""Тогда-же меня могли тоже так звать, но меня больше удивляет что эта вариация недавно была использована вновь."""
Ортез,FALSE,FALSE,😐,локонг
Ртез,FALSE,FALSE,😡,оконг
Тез,FALSE,FALSE,😡,конг
Ез,FALSE,FALSE,😡,онг
З,FALSE,FALSE,😡,нг
К,FALSE,FALSE,😡,В
Сквар,TRUE,FALSE,😐,
Скапепе,TRUE,FALSE,😐,
Картон,FALSE,FALSE,😐,
Картёз,FALSE,FALSE,😐,
Артёз,FALSE,FALSE,😡,
Картез,FALSE,FALSE,😀,
Артезий,FALSE,FALSE,😐,
Каркас,FALSE,FALSE,😡,
Квадрат,FALSE,FALSE,😡,
Мартез,FALSE,FALSE,😡,
Девид Мартезов,FALSE,FALSE,😀,
Кариез,FALSE,FALSE,😐,
captsqrbeard,FALSE,FALSE,😀,
КапитанПтицехлеб^2,FALSE,FALSE,😐,
Артезианская скважина,FALSE,FALSE,😡,Артезианская скважина
Артезианская впадина,FALSE,FALSE,😡,Нету такой
КысКыс,FALSE,FALSE,😡,
КусКус,FALSE,FALSE,😡,
Кортьез,FALSE,FALSE,😐,
Скартез,FALSE,FALSE,😡,
Скр Скр Скр,FALSE,FALSE,😡,
СкрпхфП,FALSE,FALSE,😐,
Китартез,FALSE,FALSE,😐,Шутки про китакота запрещены
Аркадий,FALSE,FALSE,😡,Меня не так зовут
Капитан Фиолетовая Борода,FALSE,FALSE,😐,
Снежинка,FALSE,FALSE,😀,Новогодний никнейм на сервере по сплатуну
Сыйки,FALSE,FALSE,😐,gthtrk.xb hfcrkflre lehtym
chrstmsqrb,FALSE,FALSE,😀,Новогодний никнейм на локальном сервере
Карточный домик,FALSE,FALSE,😡,
Картошка,FALSE,FALSE,😡,
Мртэз,FALSE,FALSE,😡,МРТЗ
Дынька,FALSE,FALSE,😡,
Суприм Кэт,FALSE,FALSE,😡,
Килакил,FALSE,FALSE,😡,
CSQR.............B,FALSE,FALSE,😐,А?
Майкл Джексон,FALSE,FALSE,😐,
Артез Джексон,FALSE,FALSE,😡,
Кортезунья,FALSE,FALSE,😡,
Кортезина,FALSE,FALSE,😐,
Мишаня,FALSE,FALSE,😡,"хорошо, мишаня"
Скворечник,FALSE,FALSE,😡,
Илья Сискурб Кортезович,FALSE,FALSE,😀,
Маркиз,FALSE,FALSE,😡,
Макс,FALSE,FALSE,😐,"хорошо, макс"
Кар,FALSE,FALSE,😡,
Барабашка,FALSE,FALSE,😡,
Кикибет,FALSE,FALSE,😡,
Скриперт,FALSE,FALSE,😡,
Киртезик,FALSE,FALSE,😡,
Кардиотез,FALSE,FALSE,😡,
Картинка,FALSE,FALSE,😀,я посмеялся
Кортёз,FALSE,FALSE,😐,
Курьез,FALSE,FALSE,😡,
Бартез,FALSE,FALSE,😡,
Кортез Кортезов,FALSE,FALSE,😀,
Картонка,FALSE,FALSE,😡,
Котез,FALSE,FALSE,😾,я не кот
